Date,BARCLAYSPI,BARCLAYSMV,BPPI,BPMV,NEXTPI,NEXTMV,ANITEPI,ANITEMV,ALLIANCEPI,ALLIANCEMV,FTSE,TBILL
12/31/1979,303.5,981.97,525.1,5349.4,267.2,25.35,63.5,2.88,151.6,90.72,229.79,15.6719
1/31/1980,310.7,1005.19,552.4,5627.7,293,27.8,76.6,3.48,169.3,101.3,251.7,15.5625
2/29/1980,320,1035.37,604,6153.36,301.6,28.62,76.6,3.48,176,105.34,263.81,15.9063
3/31/1980,292.7,947.15,531.2,5411.25,275.8,26.16,78.8,3.58,154.9,92.74,240.38,16.1094
4/30/1980,302.1,977.33,503.9,5132.95,284.4,26.98,81,3.68,161.7,96.77,249.48,15.8906
5/30/1980,294.9,961.61,509.9,5198.98,293,29.44,78.8,3.58,163.4,97.78,243.6,15.9063
6/30/1980,340.1,1109.01,555.4,5663.18,314.6,31.6,83.2,3.78,180.2,107.86,269.54,15.4531
7/31/1980,336.6,1097.78,531.2,5415.6,357.7,35.93,81,3.68,195.4,116.93,282.29,14.5781
8/29/1980,357.3,1165.16,519,5428.84,336.1,33.77,118.2,5.37,204.6,122.47,282.49,15
9/30/1980,366.8,1196.04,594.9,6222.53,370.6,37.23,144.4,6.56,202.1,120.96,290.26,14.4063
10/31/1980,402.9,1313.96,719.4,7524.18,422.3,42.5,186,9.44,217.3,130.03,306.26,14.4375
11/28/1980,371.1,1210.08,725.4,7587.67,366.3,36.86,188.2,9.55,210.5,126,307.26,13.2813
12/31/1980,375.4,1224.12,634.4,6635.24,379.2,38.17,175.1,8.88,206.3,123.48,292.22,13.1719
1/30/1981,349.6,1139.89,625.3,6540,370.6,37.32,192.6,9.77,202.1,120.96,288.97,12.8594
2/27/1981,349.6,1139.89,631.3,6603.5,405.1,40.79,245.1,12.43,210.5,126,304.16,12.8125
3/31/1981,329.8,1075.32,570.6,5968.54,521.4,52.5,247.3,12.64,213.9,128.02,309.73,11.6406
4/30/1981,361.6,1179.2,576.7,6032.04,499.9,50.33,214.5,10.97,225.7,135.07,332.1,11.4531
5/29/1981,340.1,1116.74,585.8,6127.28,452.5,45.69,212.3,10.85,225.7,135.07,315.58,11.5781
6/30/1981,379.7,1246.79,490.7,5696.82,430.9,43.51,240.7,12.31,229.9,137.59,320.57,11.5
7/31/1981,374.5,1229.82,500.1,5805.68,439.5,44.38,253.8,12.98,230.7,138.1,319.42,13.5938
8/31/1981,394.3,1294.85,490.7,5696.82,439.5,44.38,216.6,11.08,239.2,143.14,334.63,12.7188
9/30/1981,342.7,1125.22,403.2,4680.82,374.9,37.85,164.1,8.39,203.8,121.97,278.49,15.8125
10/30/1981,344.4,1130.91,478.2,5551.68,387.8,39.16,196.9,10.07,205.5,122.98,286.3,15.5
11/30/1981,407.2,1337.3,525.1,6103.92,413.7,41.77,207.9,10.63,225.7,135.07,315.14,14.4217
12/31/1981,390,1280.76,493.8,5740.59,422.3,42.64,214.5,10.97,227.4,136.08,313.12,14.4688
1/29/1982,402.9,1323.17,472,5486.26,426.6,43.07,236.3,12.09,249.3,149.18,330.93,13.9219
2/26/1982,414.1,1359.92,437.6,5086.6,366.3,36.98,245.1,12.53,242.5,145.15,316.89,13.5938
3/31/1982,385.7,1266.62,453.2,5268.26,456.8,46.12,254.5,12.98,244.2,146.16,326.59,13.0691
4/30/1982,379.7,1246.83,497,5776.92,422.3,42.64,254.5,12.98,242.5,145.15,328.09,13.0625
5/31/1982,394.3,1294.89,500.1,5813.26,452.5,45.69,272.1,13.88,254.3,152.21,337.46,12.9375
6/30/1982,390.5,1286.34,447,5195.6,413.7,41.77,289.7,14.77,240.8,144.14,322.79,12.5469
7/30/1982,406,1337.38,412.6,4795.93,387.8,39.16,307.2,15.67,253.5,151.7,333.89,11.5625
8/31/1982,367.8,1211.47,459.5,5340.93,413.7,41.77,351.1,17.9,267.8,160.27,343.29,10.5625
9/30/1982,390.5,1286.34,437.6,5086.6,456.8,46.12,386.2,19.69,280.4,167.83,361.81,10.125
10/29/1982,411.2,1354.4,506.3,5885.92,512.8,51.78,373,19.02,303.2,181.44,369.67,9.5625
